iter	Passed	Remaining
0	3	3035
1	8	4018
2	12	4093
3	16	4161
4	21	4354
5	26	4386
6	30	4337
7	34	4323
8	40	4450
9	44	4402
10	49	4408
11	54	4447
12	59	4537
13	73	5191
14	77	5092
15	81	5036
16	85	4967
17	90	4917
18	93	4847
19	98	4805
20	102	4763
21	106	4717
22	110	4702
23	114	4672
24	118	4633
25	122	4591
26	126	4547
27	130	4523
28	134	4491
29	138	4463
30	141	4434
31	145	4414
32	150	4395
33	154	4376
34	158	4370
35	162	4350
36	166	4337
37	170	4323
38	174	4305
39	179	4297
40	183	4294
41	187	4277
42	191	4266
43	195	4251
44	199	4240
45	203	4227
46	210	4258
47	214	4250
48	218	4247
49	223	4240
50	227	4230
51	231	4217
52	235	4214
53	240	4206
54	244	4201
55	249	4197
56	253	4196
57	257	4184
58	262	4180
59	267	4184
60	272	4188
61	276	4182
62	281	4185
63	286	4184
64	290	4183
65	295	4176
66	299	4171
67	304	4167
68	308	4163
69	312	4156
70	317	4151
71	321	4147
72	326	4147
73	331	4142
74	335	4136
75	339	4125
76	343	4117
77	348	4113
78	352	4110
79	357	4105
80	360	4094
81	364	4081
82	369	4077
83	372	4064
84	377	4062
85	381	4056
86	385	4048
87	389	4038
88	393	4029
89	397	4018
90	401	4007
91	404	3994
92	408	3981
93	411	3969
94	415	3959
95	419	3952
96	423	3945
97	427	3937
98	431	3927
99	435	3917
100	438	3907
101	441	3891
102	445	3877
103	448	3863
104	451	3852
105	455	3840
106	458	3829
107	462	3818
108	465	3807
109	469	3794
110	472	3786
111	476	3781
112	480	3774
113	484	3768
114	488	3761
115	492	3754
116	496	3744
117	499	3736
118	503	3728
119	507	3718
120	510	3709
121	514	3699
122	517	3692
123	521	3684
124	524	3673
125	528	3664
126	531	3653
127	535	3648
128	539	3641
129	542	3633
130	546	3624
131	550	3617
132	553	3608
133	557	3600
134	560	3592
135	564	3584
136	567	3577
137	571	3568
138	575	3567
139	580	3566
140	584	3563
141	588	3558
142	594	3562
143	599	3561
144	604	3562
145	608	3560
146	613	3560
147	618	3559
148	621	3550
149	625	3547
150	629	3538
151	633	3532
152	637	3527
153	640	3521
154	644	3514
155	648	3507
156	652	3503
157	656	3497
158	659	3490
159	663	3485
160	667	3478
161	671	3475
162	676	3472
163	680	3468
164	684	3462
165	687	3455
166	691	3448
167	695	3444
168	699	3438
169	703	3434
170	707	3427
171	711	3424
172	715	3418
173	718	3412
174	722	3404
175	725	3398
176	729	3393
177	733	3386
178	736	3379
179	740	3375
180	745	3374
181	749	3368
182	752	3361
183	756	3356
184	759	3347
185	763	3342
186	767	3337
187	771	3332
188	775	3328
189	779	3322
190	782	3315
191	786	3308
192	789	3302
193	793	3295
194	797	3292
195	801	3288
196	806	3288
197	810	3282
198	814	3277
199	818	3272
200	823	3274
201	827	3269
202	831	3264
203	834	3257
204	838	3251
205	842	3247
206	845	3240
207	849	3235
208	853	3229
209	857	3224
210	861	3221
211	865	3218
212	869	3213
213	873	3210
214	878	3206
215	882	3203
216	886	3198
217	890	3193
218	894	3191
219	898	3185
220	902	3181
221	907	3178
222	911	3176
223	915	3171
224	919	3167
225	923	3162
226	927	3159
227	931	3154
228	935	3151
229	939	3145
230	943	3141
231	947	3137
232	951	3131
